"region_code","metric","year","value"
"CA","revenue",2009,2301421.808
"OR","revenue",2009,208681.326
"WA","revenue",2009,413222.194
"CA1","revenue",2009,2301421.808
"CA2","revenue",2009,2301421.808
"CA3","revenue",2009,2301421.808
"CA","wages",2009,51525.838
"OR","wages",2009,44321.466
"WA","wages",2009,52076.57
"CA1","wages",2009,51525.838
"CA2","wages",2009,51525.838
"CA3","wages",2009,51525.838
